Country;Adjusted net national income per capita (current US$), 2015;GDP per capita, PPP (current international $), 2016;Life expectancy at birth, total (years), 2015;Literacy rate, adult total (% of people ages 15 and above), 2016;Military expenditure (% of central government expenditure), 2015;People using basic drinking water services (% of population), 2015;People using basic sanitation services (% of population), 2015;PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total), 2015;Population, total, 2016;Refugee population by country or territory of origin, 2016;Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age), 2015;Unemployment, total (% of total labor force) (modeled ILO estimate), 2016;Urban population (% of total),2016
Qatar;54019,30478;127522,6711;78,46270732;0;0;100;100;100;2569804;20;1,3;0,226999998;99,317
Luxembourg;58069,14259;105881,7605;82,22926829;0;1,243251801;99,9508;97,61098261;100;582972;0;11,2;5,941999912;90,432
Macao SAR, China;0;104168,7511;83,59490244;96,53849;0;100;0;0;612167;0;0;2,724999905;100
Singapore;42930,34119;87855,58491;82,59512195;97,04959;19,15213307;100;100;100;5607283;33;2,9;1,828999996;100
Brunei Darussalam;27625,28701;77440,88443;77,0667561;0;0;99,513212;96,33040522;0;423196;0;0,8;1,995000005;77,505
United Arab Emirates;35857,97644;72418,61086;77,4842439;0;0;99,63076458;99,97720052;100;9269612;103;4,3;3,690999985;85,804
Ireland;38729,34546;68882,87834;81,50243902;0;1,267708792;98,92163909;92,17795166;31,25;4773095;0;10,9;8,088999748;63,535
Switzerland;65633,0635;62881,46051;83,19756098;0;3,868195348;100;99,89104203;100;8372098;0;10,4;4,583000183;73,99
Norway;61977,72366;59301,67024;82,1;0;3,877729229;100;98,058581;8,78;5232929;0;7;4,806000233;80,734
Hong Kong;0;58552,71222;84,27804878;0;0;100;96,3;0;7346700;5;0;3,421999931;100
United States;48762,10294;57466,78711;78,74146341;0;14,52118363;99,20043461;99,96955086;8,64;323127513;277;9;4,906000137;81,788
North America;47388,53304;56110,00772;79,08222552;0;13,54346712;99,17037854;99,8218935;7,771367584;359479269;353;9,135320832;5,143295384;81,81331509
Saudi Arabia;17429,97656;54430,86113;74,5744878;0;0;99,99289263;100;100;32275687;897;0,2;5,528999805;83,331
Iceland;41709,81687;51398,92651;82,86097561;0;0;100;98,77744156;0;334252;0;6,9;3,75999999;94,23
Netherlands;36632,23897;50898,08869;81,70731707;0;2,819491642;100;97,72696627;100;17018408;27;9,6;6,165999889;91,32
Austria;35511,06692;50077,83261;81,84390244;0;1,436604211;100;99,97337503;100;8747358;0;8,5;6,109000206;66,32
Denmark;45505,26902;49695,96751;81,1;0;2,741931576;100;99,5972302;78,8;5731118;0;10,2;6,051000118;87,847
Sweden;43113,68173;49174,86379;82,55121951;0;3,389833037;100;99,30353361;0;9903122;8;8,7;7,092999935;85,964,
Germany;34786,22988;48729,59042;81,0902439;0;4,19198666;100;99,2191241;99,93;82667685;67;10,6;4,31099987;75,51
Australia;44339,35427;46789,92724;82,45121951;0;7,366696825;99,96870195;100;0,14;24127159;0;12,6;5,737999916;89,554
High income;33537,85392;46704,30331;80,74130969;0;8,210947962;99,45806861;99,41887565;61,77072521;1190029421;12185;9,25573979;6,251332813;81,41498556
